,duration,route_id,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,score_route
150,3875.403606891632,RouteScenario_15,0,1,0,0,0,0,0,2,0,100.0
151,3901.1048748493195,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
152,3927.811625957489,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
153,3901.59779548645,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
154,4018.191628217697,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
155,4088.084325313568,RouteScenario_15,0,1,0,0,0,0,0,2,0,100.0
156,4068.126296520233,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
157,4070.2209486961365,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
158,4888.053932666779,RouteScenario_15,0,0,1,0,0,0,0,1,1,87.58797035286639
159,4046.9787187576294,RouteScenario_15,0,0,0,0,0,0,0,2,0,100.0
160,5388.589214324951,RouteScenario_16,0,0,0,0,0,0,0,2,0,100.0
161,4997.3983035087585,RouteScenario_16,0,0,2,0,0,0,0,2,0,100.0
162,5313.292325973511,RouteScenario_16,0,0,0,0,1,0,0,2,0,100.0
163,4821.562352180481,RouteScenario_16,0,1,1,0,0,0,0,2,0,100.0
164,4816.129837274551,RouteScenario_16,0,1,2,0,0,0,0,2,0,100.0
165,5313.794224023819,RouteScenario_16,0,0,0,0,1,0,0,2,0,100.0
166,4825.236931324005,RouteScenario_16,0,1,1,0,0,0,0,2,0,100.0
167,3516.6718244552612,RouteScenario_16,0,0,0,0,0,0,0,0,1,46.25923993526704
168,5041.406305074692,RouteScenario_16,0,1,1,0,1,0,0,1,1,77.73032082619429
169,5390.288109064102,RouteScenario_16,0,0,0,0,0,0,0,2,0,100.0
170,2991.2165870666504,RouteScenario_17,0,0,0,0,0,0,0,2,1,52.048240602184976
171,2995.3658034801483,RouteScenario_17,0,0,0,0,0,0,0,3,0,100.0
172,2903.464119911194,RouteScenario_17,0,0,0,0,0,0,0,3,0,100.0
173,4355.148470163345,RouteScenario_17,0,0,2,0,0,0,0,3,1,98.67712580372284
174,4326.40424489975,RouteScenario_17,0,0,0,0,0,0,0,3,1,99.30706570909376
175,3266.6974301338196,RouteScenario_17,0,0,0,0,0,0,0,3,0,100.0
176,3259.8530859947205,RouteScenario_17,0,0,3,0,0,0,0,2,0,100.0
177,3260.1772379875183,RouteScenario_17,0,0,1,0,0,0,0,3,0,100.0
178,3929.4830837249756,RouteScenario_17,1,0,3,0,0,0,0,3,1,93.32263516249665
179,1716.5033161640167,RouteScenario_17,0,0,0,0,0,0,0,1,1,14.98944958414359
180,7860.511568784714,RouteScenario_18,0,0,1,0,1,0,0,4,0,100.0
181,6715.1253221035,RouteScenario_18,0,0,0,0,1,0,0,4,0,100.0
182,6177.290411472321,RouteScenario_18,0,0,0,0,0,0,0,4,0,100.0
183,7110.378974676132,RouteScenario_18,0,0,0,0,1,0,0,3,0,100.0
184,6485.065824508667,RouteScenario_18,0,0,0,0,0,0,0,4,0,100.0
185,6945.16627573967,RouteScenario_18,0,0,0,0,0,0,0,3,0,100.0
186,7586.426484107971,RouteScenario_18,0,0,0,0,0,0,0,3,0,100.0
187,6914.683247327805,RouteScenario_18,0,0,0,0,0,0,0,4,1,77.78314334511487
188,6476.900270938873,RouteScenario_18,0,0,0,0,0,0,0,4,0,100.0
