,Road type,Road ID,Scenario Length,Vehicle_in_front,vehicle_in_adjcent_lane,vehicle_in_opposite_lane,vehicle_in_front_two_wheeled,vehicle_in_adjacent_two_wheeled,vehicle_in_opposite_two_wheeled,time of day,weather,Number of People,Target Speed,Trees in scenario,Buildings in Scenario,task,f1,f2,f3,f4,f5
124,2,2,0,0,1,1,0,1,0,2,0,0,2,1,1,0,0.7619130434782608,1.0,1.0,1.0,1.0
125,0,2,0,1,0,1,0,1,1,1,1,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,1.0
126,1,3,0,1,1,1,1,1,1,1,1,0,4,1,1,0,0.7005217391304348,0.1,1.0,1.0,1.0
127,0,1,0,0,0,1,1,0,0,0,2,1,4,1,1,0,0.9957391304347826,1.0,1.0,1.0,1.0
128,3,3,0,0,0,0,0,1,0,1,3,0,4,1,1,0,0.9962608695652174,1.0,1.0,1.0,1.0
129,2,3,0,0,0,1,1,1,1,1,1,1,4,1,1,0,0.45034782608695645,1.0,1.0,0.25,1.0
130,1,1,0,0,0,1,0,0,0,1,5,0,4,1,1,0,0.6068695652173912,1.0,1.0,1.0,1.0
131,2,1,0,0,0,0,0,1,0,0,3,1,3,1,1,0,0.6474782608695653,1.0,1.0,1.0,1.0
132,2,1,0,1,0,0,0,1,1,2,4,1,4,1,1,0,0.6441739130434783,1.0,1.0,1.0,1.0
133,0,3,0,1,1,1,1,1,1,2,2,1,2,1,1,0,0.8747826086956522,1.0,1.0,1.0,1.0
134,3,1,0,1,1,0,0,1,0,2,0,0,3,1,1,1,0.5951304347826086,1.0,1.0,1.0,1.0
135,2,3,0,1,0,1,0,1,1,1,2,0,3,1,1,0,0.45034782608695645,1.0,1.0,0.17,1.0
136,0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.9844347826086957,0.02,1.0,1.0,1.0
137,1,1,0,1,0,0,0,1,1,0,3,0,3,1,1,0,0.6316521739130434,1.0,1.0,1.0,1.0
138,0,3,0,1,1,1,1,0,1,1,0,0,3,1,1,0,0.8816521739130435,0.04,1.0,1.0,1.0
